inchikey,split
AAUQTTUTLFILEE-UHFFFAOYSA-N,train
AAVBFLAAVMARPI-UHFFFAOYSA-N,test
AAVMTXYKUJWQBU-UHFFFAOYSA-N,train
AAVOGWWPYUVDEH-UHFFFAOYSA-N,train
AAVVJYRIFZWOQJ-UHFFFAOYSA-N,train
AAWDKUPZMHITDM-BHVANESWSA-N,train
AAWULYVNLMFIDB-UHFFFAOYSA-N,val
AAWZYZGJDOSLSU-NSHDSACASA-N,train
AAXGNQYETKQKSK-UCGGBYDDSA-N,train
AAXJTXUUVCETME-UHFFFAOYSA-N,train
AAYBHLNWKYXETD-NRFANRHFSA-N,val
AAYBHLNWKYXETD-OAQYLSRUSA-N,val
AAYKOZXUTNQLTC-UHFFFAOYSA-N,train
AAYMNPGQEZYHNE-UHFFFAOYSA-N,train
AAYWVTOWQJBOQO-UHFFFAOYSA-N,train
AAYZTFLAQXDFOL-UHFFFAOYSA-N,train
AAZOJORPZJMOIL-UHFFFAOYSA-N,test
ABAHFXBQXJPKNX-UHFFFAOYSA-N,val
ABAOWFCFAADMKA-UHFFFAOYSA-N,train
ABARJLSHDALLBS-UHFFFAOYSA-N,train
ABARJWHHNCOEQT-UHFFFAOYSA-N,train
ABBJYLAXCLSIBE-UHFFFAOYSA-N,train
ABBLRZJIPZFCFY-OAHLLOKOSA-N,train
ABBVFVXUAZLZGA-UHFFFAOYSA-N,train
ABBYYXANEINXOV-UHFFFAOYSA-N,train
ABCNTLFWXSCOCC-UHFFFAOYSA-N,test
ABCSQINXDHMUDI-UHFFFAOYSA-N,train
ABCWIDLSWVPNPO-UHFFFAOYSA-N,train
ABCZKUIDXGHMIH-UHFFFAOYSA-N,train
ABDDQTDRAHXHOC-QMMMGPOBSA-N,train
ABDIOQXDBJMGHB-QPJJXVBHSA-N,train
ABDRBGWMJSCIGC-UHFFFAOYSA-N,train
ABDZDGAYOUCIOR-UHFFFAOYSA-N,train
ABEFFRUFIXRFOH-SNAWJCMRSA-N,train
ABEGFBRZNZWQBS-UHFFFAOYSA-N,train
ABEGTFCLSXRJQE-UHFFFAOYSA-N,train
ABEZBUPUYCZAAU-UHFFFAOYSA-N,train
ABFFVPNTRSSMPE-HHHXNRCGSA-N,val
ABFMBAYHWWNULS-UHFFFAOYSA-N,train
ABFOYIVXWUOOFF-JMZJZADLSA-N,train
ABFVBWQMBVYWMV-UHFFFAOYSA-N,train
ABFWFUAKPRLLAW-HMTLIYDFSA-N,train
ABFWFUAKPRLLAW-UHFFFAOYSA-N,train
ABFWFUAKPRLLAW-ZMFCMNQTSA-N,train
ABGMGGNYLNDYAV-UHFFFAOYSA-N,train
ABGOSOMRWSYAOB-UHFFFAOYSA-N,val
ABGXDJDXYCHCQN-UHFFFAOYSA-N,train
ABHDCLDAAZIPMQ-XGAFWQRZSA-N,train
ABHDYLBMXLXCKE-UHFFFAOYSA-N,train
ABHVAQKOVOLZPM-QAQDUYKDSA-N,train
ABIFPJDABNXEMK-BBQAJUCSSA-N,train
ABIFPJDABNXEMK-FKHAVUOCSA-N,train
ABIMHEGUHGJRNG-KSZLIROESA-N,train
ABIQGAQPWFFGHU-UHFFFAOYSA-N,train
ABIXUHSEHFCQMV-UHFFFAOYSA-N,train
ABJDGWXKAMVWGP-UHFFFAOYSA-N,train
ABJIJOALHMGIMB-IBGZPJMESA-N,train
ABJKKLPYCQAHCN-PMACEKPBSA-N,train
ABJKWBDEJIDSJZ-UHFFFAOYSA-N,test
ABKFNWSCLGGDOH-UHFFFAOYSA-N,train
ABKGTFFKSJEJIQ-HXUWFJFHSA-N,train
ABKHIRSCVOSFNF-UHFFFAOYSA-N,train
ABKLKGFJNJSOHF-UHFFFAOYSA-N,train
ABKVEMFUXMVUSG-WGSAOQKQSA-N,train
ABLFQJZRWXQNFZ-UHFFFAOYSA-N,train
ABLGFYHLIBGFKD-UHFFFAOYSA-N,train
ABLMTRUAAOJKSC-UHFFFAOYSA-N,train
ABLWHXGNSHTMMJ-UHFFFAOYSA-O,train
ABLXXKUDDSMAHU-UHFFFAOYSA-N,train
ABMHTDHRBBZHKQ-UHFFFAOYSA-N,train
ABMSAGZBJYEZGT-UHFFFAOYSA-N,train
ABMUIKNLWXQBLZ-UHFFFAOYSA-N,train
ABNDMYBELMAXRP-NDEPHWFRSA-N,train
ABNDZZGDDVOZLX-UHFFFAOYSA-N,train
ABNIDWHBBSGUDX-UHFFFAOYSA-N,train
ABNJTLJOBGFVGE-UHFFFAOYSA-N,train
ABNNSLREZPBYPJ-TYVLQRECSA-N,train
ABNOJWGKGYSFSX-UHFFFAOYSA-N,val
ABNRNBDSPMGJBS-RUZDIDTESA-N,val
ABNWTYHEAATIEC-UHFFFAOYSA-N,train
ABNYACFXLIXBBW-UHFFFAOYSA-N,val
ABNZWLHJBSTFHF-UHFFFAOYSA-N,train
ABOBMBIQQPJTMJ-UHFFFAOYSA-N,train
ABOCVRMZOWDYSN-ADAARDCZSA-N,train
ABOGMJLHJDETEP-VXYCASJGSA-N,val
ABOSKQBOCJYUER-WYMLVPIESA-N,val
ABOTXPKVARXPFD-UHFFFAOYSA-N,train
ABOUWUWXUJHANF-UHFFFAOYSA-N,train
ABOUXXMKTJTICI-UHFFFAOYSA-N,val
ABOWVCATJOQIKV-UHFFFAOYSA-N,train
ABOYXIDEOWOTGI-AQYVVDRMSA-N,val
ABPSWEJOHYDZDP-UHFFFAOYSA-N,train
ABPWMVQITAVZCI-ZDUSSCGKSA-N,train
ABQLLFONNKQLLB-UHFFFAOYSA-N,train
ABQRVDGZZXHLLT-UHFFFAOYSA-N,test
ABQSJCCISLWTEW-UHFFFAOYSA-N,train
ABQZBBQXRQDXEI-UHFFFAOYSA-N,train
ABRBNWJYESXFLE-PWSAKUHLSA-N,train
ABRFKTAFRQVZBR-UHFFFAOYSA-N,train
ABRKDKHVTPOTTA-PUSIOWJLSA-N,train
ABRUJKCBIKVELJ-UHFFFAOYSA-N,train
ABRYZACBGXFEHT-UHFFFAOYSA-N,train
ABSKJGYIWZMOAF-IIZZQMJKSA-N,val
ABSKJGYIWZMOAF-PHYXRKKJSA-N,train
ABSWGCNVJMJCLU-UHFFFAOYSA-N,val
ABSYOVABXRUJEW-AWEZNQCLSA-N,train
ABTANIOYSSLHPL-UHFFFAOYSA-N,train
ABTHBGGHEGAVLT-UHFFFAOYSA-N,train
ABTMQITXLXSPOI-UHFFFAOYSA-N,val
ABTMQWQGGARRSK-LLVKDONJSA-N,train
ABTOFZCPUPVFTQ-UHFFFAOYSA-N,train
ABTZLIMZVQZMDS-HKJFJCDVSA-N,train
ABUCIAUEIGSSGO-BCHFMIIMSA-N,train
ABUDXXYFKLCSKO-UHFFFAOYSA-N,train
ABUUWIZJEMSEFP-KYOARWNFSA-N,train
ABUXRHQYNOLAJI-NTCAYCPXSA-N,test
ABVHEHZICJEVGU-UHFFFAOYSA-N,train
ABVUYCPJEBHHQX-BDAKNGLRSA-N,train
ABWJVVCPMHFSTN-UHFFFAOYSA-N,test
ABWNRPAQIBGXIY-ZDUSSCGKSA-N,test
ABWUNUXMXZBYRM-UHFFFAOYSA-N,test
ABXIBRWZRWHJCZ-ARLHGKGLSA-N,train
ABXIBRWZRWHJCZ-KZUDCZAMSA-N,train
ABXIBRWZRWHJCZ-UONOGXRCSA-N,train
ABXIVYJPASFGEB-UHFFFAOYSA-N,train
ABXJJVJJEAFTLI-UHFFFAOYSA-N,train
ABXMAAVUSZPZAU-ISKFKSNPSA-N,val
ABXOSVSNRQUCLU-UHFFFAOYSA-N,train
ABXQTPKTPDAAGS-XGAFWQRZSA-N,val
ABXUYGWOEIXKBD-KTKRTIGZSA-N,train
ABYFXYVIEFXQPH-HNNXBMFYSA-N,train
ABZCYSWHLPSBPJ-RDJZCZTQSA-N,train
ABZONQSYSVGCDW-NLFFAJNJSA-N,train
ACAARKVFRVCUMK-UHFFFAOYSA-N,train
ACALVKSHYQWUFA-UHFFFAOYSA-N,train
ACAUEKMPUFWNLM-PHNZBSFLSA-N,test
ACAVWBSORQCXCG-UHFFFAOYSA-N,train
ACAWRKNKSILJBW-UVXAETBJSA-N,train
ACBMDPQWISSNFH-UHFFFAOYSA-N,train
ACBPNLRWLXSYMI-UHFFFAOYSA-N,train
ACCFLVVUVBJNGT-AWEZNQCLSA-N,val
ACCSWVGAMRADDI-UHFFFAOYSA-N,train
ACDPLKGNXLRNDC-HHXQIICLSA-N,train
ACDUFNNGCHAONI-UHFFFAOYSA-N,train
ACDXPDXQOSPDPY-QGZVFWFLSA-N,train
ACDYFMOSSUKHJD-HSZRJFAPSA-N,train
ACDYFMOSSUKHJD-QHCPKHFHSA-N,train
ACDYFMOSSUKHJD-UHFFFAOYSA-N,train
ACFIBJLBHXWBFG-UHFFFAOYSA-N,train
ACFWCPZFEIDRAM-UHFFFAOYSA-N,train
ACGNJFZSGIKELN-UHFFFAOYSA-N,train
ACGSIOSESQWBFI-UHFFFAOYSA-N,test
ACGUYXCXAPNIKK-UHFFFAOYSA-N,train
ACGWDXHPVXMSNJ-BJODSLRWSA-N,train
ACHQQXOLWIKHRK-UHFFFAOYSA-N,val
ACHUFQQVWLUZBB-UHFFFAOYSA-N,train
ACHVZLIPGAILRQ-KKXNLOMOSA-N,train
ACIBUVSZJSBTER-UHFFFAOYSA-N,train
ACIMQSDLIYUKRE-AQYVVDRMSA-N,train
ACIMQSDLIYUKRE-GRGXKFILSA-N,test
ACJHLQAJKHNUGE-UHFFFAOYSA-N,train
ACJKPTOGQNRUEV-UHFFFAOYSA-N,train
ACJNHQLAGNWKBM-UHFFFAOYSA-N,train
ACJRYIMGNWBLFL-UHFFFAOYSA-N,train
ACKGCCXJFAZCFF-UHFFFAOYSA-N,train
ACKJXXOVSOCBPX-UHFFFAOYSA-N,train
ACLHQUPQJWHLFP-UHFFFAOYSA-N,train
ACMFQXHPRNXUCJ-UHFFFAOYSA-N,train
ACMJXMGGOZMZJM-UHFFFAOYSA-N,train
ACMMSHORHBTOEZ-PRDVQWLOSA-N,train
ACMNQISHKGVMFM-UHFFFAOYSA-N,train
ACMRGQBFZUCBKA-AIBWNMTMSA-N,train
ACNCCUVYXQGPKZ-UHFFFAOYSA-N,train
ACNCHXYXMGKUMM-JPGODEOUSA-N,train
ACNCYTDELKNLOL-QFIPXVFZSA-N,train
ACNDVDAOPITCDS-UHFFFAOYSA-N,test
ACNFYYUXBQGWQL-UHFFFAOYSA-N,test
ACNNJWMMLBYERQ-UHFFFAOYSA-N,train
ACNOKHXCQQGNOV-UHFFFAOYSA-N,train
ACNYXAIBELJFSP-JLHYYAGUSA-N,train
ACOHJTDLJUVDNX-AQYVVDRMSA-N,train
ACOJPXLWKMOTHB-UHFFFAOYSA-N,test
ACOOGNWCLUIBMF-UHFFFAOYSA-N,train
ACOPRJFRCHANOC-FKBYEOEOSA-N,train
ACORXVJFRDCBBT-UHFFFAOYSA-N,train
ACOWAIUKUFGHLY-UHFFFAOYSA-N,train
ACOZPXLCYUQMHS-UHFFFAOYSA-N,train
ACPCMBPQKQTAQY-UHFFFAOYSA-N,val
ACPTZWYCGODGER-BQYQJAHWSA-N,test
ACPURVIILGKNKV-UHFFFAOYSA-N,train
ACPWZRGLIIWDAZ-SECBINFHSA-N,train
ACQBHJXEAYTHCY-UHFFFAOYSA-N,val
ACQGRWSJSVUXTG-UHFFFAOYSA-N,train
ACQJSWKZZFRCRQ-UHFFFAOYSA-N,train
ACQQSVLNYFFGER-UHFFFAOYSA-N,train
ACQVYHSWYYIBOX-UHFFFAOYSA-N,train
ACRHQCILRCGEKI-UHFFFAOYSA-N,train
ACRVFRPOWNWNAQ-UHFFFAOYSA-N,train
ACRVFUXUPCCBKG-UHFFFAOYSA-N,train
ACRYWRNKSAEMCO-SANMLTNESA-N,train
ACSAZDYAONWBPF-UHFFFAOYSA-N,train
ACSIUQUEBMBISB-UHFFFAOYSA-N,train
ACSMNOOMQYUAMF-UHFFFAOYSA-N,train
ACSOQLWNKLVZHZ-UHFFFAOYSA-N,train
ACSUMENHCIMTQG-QHCPKHFHSA-N,train
ACTLPXXDVMYWFS-FCEWJHQRSA-N,val
ACTLPXXDVMYWFS-MDZRGWNJSA-N,test
ACTNABQUCQIOKX-FQEVSTJZSA-N,train
ACTPPPZUVGZQQF-OAHLLOKOSA-N,train
ACTVOFFLDWZANE-NSISKUIASA-N,train
ACTXRPZBCPTJSQ-UHFFFAOYSA-N,train
ACUOSRXKTFDQLE-IOWSJCHKSA-N,val
ACURKJUHYADJGJ-SQPFWDBASA-N,train
ACUZCRBYKQDOGT-UHFFFAOYSA-N,train
ACVWWDRVNBIHJC-UHFFFAOYSA-N,train
ACVXRXJQYWHUND-UHFFFAOYSA-N,train
ACVZUAKWEUBENM-UHFFFAOYSA-N,train
ACWOUFNDQFUXQN-UHFFFAOYSA-N,train
ACWQOQSFTNXQMA-UHFFFAOYSA-N,train
ACWRURAYMKLZIZ-UHFFFAOYSA-N,val
ACXJRGZNKVVUCQ-MIBGPUDPSA-N,test
ACXODBAODQZCHM-UHFFFAOYSA-N,train
ACXVPJWIBMHZAF-UHFFFAOYSA-N,train
ACYCBNFGNBHQEP-YHBQERECSA-N,train
ACYCBNFGNBHQEP-ZRZAMGCNSA-N,train
ACYSIZUFQATBIE-AYMUEJEMSA-N,val
ACYSIZUFQATBIE-LJYIDUQDSA-N,train
ACZCVZUKGWGYJX-UHFFFAOYSA-N,train
ACZJVQXDTPYNAT-CQSZACIVSA-N,train
ACZLAVUSXSLQRQ-OAQYLSRUSA-N,train
ACZMLOPMXAUHFP-QFBILLFUSA-N,train
ACZNHAVSSIJYSL-BHGWPJFGSA-N,train
ACZUPBJBDZROIE-UHFFFAOYSA-N,val
ADAINMOCVZQXHL-LDBVRRDLSA-N,train
ADAJAZUUPSIOFM-UHFFFAOYSA-N,train
ADAQBVKANMBBGO-UHFFFAOYSA-N,train
ADAREYJDNCHIMX-KPKJPENVSA-N,train
ADBSEGTVFDHAFB-UHFFFAOYSA-N,train
ADCADUHNSKXDGZ-UHFFFAOYSA-N,train
ADCBAOTWERXLAP-UHFFFAOYSA-N,train
ADCFWPUIUIMSJH-UHFFFAOYSA-N,train
ADCPOYAOTABVFQ-TVHRLVRESA-N,train
ADCPRYKGPAHETD-UHFFFAOYSA-N,train
ADDDIJIWQWCYSH-JJFYIABZSA-N,test
ADDKZOUNFAZVBP-DZNWXHPMSA-N,train
ADDKZOUNFAZVBP-NVNZTLJMSA-N,test
ADDMBJZNTUSTIL-UHFFFAOYSA-N,test
ADDYIVVOISESEV-SANMLTNESA-N,test
ADEBPBSSDYVVLD-UHFFFAOYSA-N,train
ADEULUARLQGDFW-UHFFFAOYSA-N,test
ADEWPQIVNWFIED-UHFFFAOYSA-N,train
ADFCNDWZLVACPM-UHFFFAOYSA-N,train
ADFHENDFLQWIAU-UHFFFAOYSA-N,train
ADFIHXLUBQESQH-UHFFFAOYSA-N,train
ADFNBVCUNARPQJ-UHFFFAOYSA-N,val
ADFNMOVNQSHFOR-RUCARUNLSA-N,val
ADFWQBGTDJIESE-UHFFFAOYSA-N,train
ADFYNOLTDCSOFK-UHFFFAOYSA-N,train
ADFZKKWKESWUFY-UHFFFAOYSA-N,test
ADGFMMGNBWOIFL-UHFFFAOYSA-N,train
ADGGYDAFIHSYFI-UHFFFAOYSA-N,train
ADGMDJYORUZUNO-UHFFFAOYSA-N,train
ADGOPPKEIZXKAZ-UHFFFAOYSA-N,train
ADGRZRHCVXPKAN-UHFFFAOYSA-N,train
ADHCAMXJPFDZFV-FTWQHDNSSA-N,train
ADHNAKNBOQNQJE-UHFFFAOYSA-N,train
ADHYXWXOSNAIGE-CQSZACIVSA-N,train
ADIFMZOOUGSSJC-UHFFFAOYSA-N,train
ADIQIFNAYVHQDY-UHFFFAOYSA-N,train
ADJACMYOQMAGTE-SNAWJCMRSA-N,train
ADJFMCUPDBBCOE-UHFFFAOYSA-N,train
ADJOYEMKHFQISN-UHFFFAOYSA-N,train
ADJUMEYAFIKNCC-UHFFFAOYSA-N,train
ADJZTTBLODFIHR-UHFFFAOYSA-N,train
ADKJHJNFROJLTD-UHFFFAOYSA-N,train
ADKLHRQMUXRWQQ-VWLOTQADSA-N,train
ADKLWTJYNHIZGI-UHFFFAOYSA-N,test
ADKPDCJUAOTYGJ-UHFFFAOYSA-N,train
ADLJQEKLAGCZSU-UHFFFAOYSA-N,train
ADLODFKELCDENP-UHFFFAOYSA-N,train
ADLPKFFMGIJZIM-UHFFFAOYSA-N,train
ADLRDDWBCKMWCY-UHFFFAOYSA-N,val
ADLYBSSJKFIGDM-FNHLFAINSA-N,train
ADLYBSSJKFIGDM-UHFFFAOYSA-N,train
ADLYXAHODXNVQT-UHFFFAOYSA-N,train
ADMAGCVVUGXBAI-MRXNPFEDSA-N,train
ADMFLILDQJSEIK-UHFFFAOYSA-N,train
ADMFVBCZDNKXDT-FQEVSTJZSA-N,train
ADMNUSBRXQKZMG-UHFFFAOYSA-N,train
ADOHIJAAUMSPIL-MJALHYBGSA-N,test
ADOSJZAXCDIIPN-GJQLDDCUSA-N,train
ADOWSBVOHPXUHY-UHFFFAOYSA-N,test
ADPVMTPAEZGGRY-UHFFFAOYSA-N,test
ADQFBAMWKUTCQJ-UHFFFAOYSA-N,train
ADQFUNHBDHCKCM-NRFANRHFSA-N,train
ADQSYGNVUQCCKO-UHFFFAOYSA-N,test
ADQUKNFCICZRTP-UHFFFAOYSA-N,train
ADQZGIYHFQQPRB-UHFFFAOYSA-N,train
ADRMFUJERSSARP-UHFFFAOYSA-N,train
ADSYCQHXJJBMGD-UHFFFAOYSA-N,train
ADSZRHDJWBZORK-UHFFFAOYSA-N,train
ADTBLSNEZSDCAS-UHFFFAOYSA-N,train
ADTBZOLAEWCHRQ-UHFFFAOYSA-N,train
ADTCCVMJGTXFQL-UHFFFAOYSA-N,train
ADTGYKPAADQGOA-UHFFFAOYSA-N,train
ADTHOQASRLCLRF-UHFFFAOYSA-N,train
ADTIYFNFCNVIJB-HZHRSRAPSA-N,train
ADUBJHAQOLSRND-UHFFFAOYSA-N,train
ADUIJXDMGJPFBW-MIJBLTGYSA-N,train
ADUMYZLFDDEFPS-UHFFFAOYSA-N,train
ADUUVPPWHWVJFK-UHFFFAOYSA-N,train
ADUYAJIFZKXWCR-HKBQPEDESA-N,train
ADUYAJIFZKXWCR-UHFFFAOYSA-N,train
ADUYAJIFZKXWCR-WJOKGBTCSA-N,train
ADUYXHYSTCIMEO-UHFFFAOYSA-N,val
ADVQAEICXAHZOY-IPJJNNNSSA-N,train
ADVZBBJOYBSROZ-UHFFFAOYSA-N,train
ADWAGSCYZKTLSE-UHFFFAOYSA-N,train
ADWBIWIWVFJDMV-UHFFFAOYSA-N,train
ADWGIUYHFWJNSG-XFJOZDCWSA-N,train
ADWNMHCJSZMYGA-UHFFFAOYSA-N,train
ADWXQBWYLGYCTA-GNAXCBTBSA-N,train
ADWXQBWYLGYCTA-RTLBZRNLSA-N,train
ADXSZLCTQCWMTE-UHFFFAOYSA-N,train
ADXUMFJRTDBBMS-UHFFFAOYSA-N,train
ADYFIOXNXDZKTN-UHFFFAOYSA-N,train
ADYIASWOTCCBEE-UHFFFAOYSA-N,train
ADYURMHVIHXMML-JKXSZHJASA-N,train
ADYYYLTWZYYGNX-YMJLMVKSSA-N,test
ADYZVNMLQOHYDE-BXYYZEGGSA-N,val
AEAKUTLWKRVNAP-UHFFFAOYSA-N,train
AEALFDTWOAFNEO-VWLOTQADSA-N,train
AEALLVSFYNMBHG-UHFFFAOYSA-N,val
AEAOPPHJQXFHPG-UHFFFAOYSA-N,train
AEBKFOMFJMJUFH-VPGRUKGMSA-N,train
AEBNZKWTLCUZBW-UHFFFAOYSA-N,train
AEBYVBCAWZMUGP-UHFFFAOYSA-N,train
AECDBHGVIIRMOI-GRGXKFILSA-N,train
AECLHEWOCFJTDO-UHFFFAOYSA-N,train
AECVPDHNWHBQLW-GOSISDBHSA-N,train
AEDAFPKEIJOTMX-UHFFFAOYSA-N,train
AEDYQRGLUVZRAF-INIZCTEOSA-N,train
AEEFPFZMNZVYPW-UHFFFAOYSA-N,train
AEEJHYWVYVJIRH-OFVILXPXSA-N,train
AEELJIKVLDJGFM-NPJCXYKHSA-N,test
AEEPXYZNJPKDOX-UHFFFAOYSA-N,train
AEERMDZPXWNANY-UHFFFAOYSA-N,test
AEESKWDRFZVEKJ-UHFFFAOYSA-N,train
AEFLOLLJJAKGQJ-UHFFFAOYSA-N,train
AEFNXPBFFTWXPE-UHFFFAOYSA-N,train
AEFWYAYAEQSTQD-UHFFFAOYSA-N,train
AEGDITSWVZEWFA-UHFFFAOYSA-N,test
AEGDWUNXWHWSRQ-UHFFFAOYSA-N,val
AEGFXJNHKPNNAZ-UHFFFAOYSA-N,train
AEGUMSWRCVNPKS-VWLOTQADSA-N,train
AEGXQTLIMRGLHO-UHFFFAOYSA-N,train
AEHLDSIOUITFOD-FJKURUNVSA-N,train
AEHPIXXCBRCHDK-UHFFFAOYSA-N,val
AEHUGLUJLXQXMZ-UHFFFAOYSA-N,train
AEHUMGLWFAMHEX-CYBMUJFWSA-N,train
AEIHLYLFNBJVQX-IBYPIGCZSA-N,train
AEIHLYLFNBJVQX-XPKAQORNSA-N,train
AEISDSYQXOEKFX-UHFFFAOYSA-N,train
AEJACXAFHXBVHF-UHFFFAOYSA-N,test
AEJCTJSNUNXYQL-YHBQERECSA-N,train
AEJCTJSNUNXYQL-ZRZAMGCNSA-N,train
AEJMWTIBRVQCOF-UHFFFAOYSA-N,train
AEJVTXXPLUEZEB-HNNXBMFYSA-N,train
AEJVTXXPLUEZEB-OAHLLOKOSA-N,train
AEKDVQNDZQYMPK-UHFFFAOYSA-N,train
AEKRAVIJSVJVBT-UHFFFAOYSA-N,train
AELMZARIIRBFQD-UHFFFAOYSA-N,test
AELOAVLVUVWIHM-UHFFFAOYSA-N,train
AELRJPYEKUZAOQ-UHFFFAOYSA-N,train
AELSDQALOKPCDU-UHFFFAOYSA-N,train
AELXUYMSGIUIDF-UHFFFAOYSA-N,train
AELYPESLFOQFTR-UHFFFAOYSA-N,train
AEMMKQSFEPMYMC-UHFFFAOYSA-N,train
AENFZRBXHCJOOC-UHFFFAOYSA-N,train
AENHFZZMNBETCL-UHFFFAOYSA-N,train
AENKBRFCOPMCEQ-RYTSNQFKSA-N,train
AENQVVCMBGUAQO-UHFFFAOYSA-N,train
AENWLGXTORARIE-UHFFFAOYSA-N,train
AEOCPQUDPJKEQV-NNBIHLJJSA-N,train
AEOFEGDYORZHFE-UHFFFAOYSA-N,val
AEOPRKLLYCOWIZ-AWEZNQCLSA-N,val
