murcko_scaffold_mode,split_scaffold
c1ccc(-c2nc(CCOc3ccc(C[C@H]4CCN(c5ncccn5)C4)cc3)co2)cc1,train
O=C(CCNCC(=O)N1CCCC1)N[C@H]1C[C@@H]1c1ccccc1,train
c1ccc(COc2ccccc2)cc1,train
O=c1[nH]c(=O)c2[nH]c(-c3ccccc3)nc2[nH]1,train
c1ccc(-c2nc(N3CCOCC3)c3cn[nH]c3n2)cc1,train
c1ccc(-c2nc(CCOc3ccc4c(c3)CCC4)cs2)cc1,train
c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1,train
c1ccc(CNCc2cccc3ccccc23)cc1,test
O=C(NCCCN1CCN(c2ccccc2)CC1)c1c[nH]c(-c2ccccc2)c1,train
O=c1[nH]c2cnc3ccc(-c4cccnc4)cc3c2n1[C@@H]1CCCOC1,train
c1ccc(CN(Cc2coc(-c3ccccc3)n2)Cc2ccco2)cc1,train
c1ccc(CNc2ccnc3oc4ccccc4c23)cc1,train
c1cc(-c2ccc3c(c2)OCO3)ccn1,train
c1ccc(Nc2nc3cc(Oc4ccncc4)ccc3o2)cc1,train
c1ccc(OC(c2cccnc2)C2CCNCC2)cc1,train
c1c[n+](COCC2CCCCC2)c[nH]1,train
c1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2)cc1,train
c1ccc(-c2nc(CCc3noc4ccccc34)co2)cc1,train
O=C1NCc2c3c(c4[nH]c5ccccc5c4c21)Cc1ccccc1-3,train
O=C1c2ccccc2C(=O)N1CCCCCCCNCc1ccccc1,train
O=c1ccc2c(CCNCCc3ccc(Nc4ccccc4)cc3)cccc2[nH]1,train
O=C(Nc1ccncc1)Nc1cccc(-c2cccnc2)c1,train
C(#Cc1cnccc1-c1ccncc1)c1cccnc1,train
O=C(CCN1CCOCC1)Nc1ccc2nccc(Nc3ccccc3)c2c1,train
c1ccc([C@@H]2CC[C@H]3c4ccccc4CCN3C2)cc1,train
O=C(c1cc2ccccc2s1)C1CCC[NH+](CC2CCCCO2)CC1,val
C1=C([C@@H](Nc2ccc3nccc(Nc4ccccc4)c3c2)c2cocn2)NNN1,val
O=C(NCCCCN1CCN(c2ccccc2)CC1)c1cc2ccccc2o1,train
O=C(c1ccc(-c2ncncc2C#Cc2cccnc2)cc1)N1CCC(N2CCCC2)C1,val
c1coc(-c2nc3ncncn3n2)c1,train
O=C1CCc2ccccc2N1CCCN1CCN(c2ccccc2)CC1,train
c1ccc(Cc2ccc3c(c2)[C@]2(CCCCO2)OC3)cc1,train
C(#Cc1ncc2ncn([C@H]3CCCO3)c2n1)CCCc1ccccc1,val
O=C(/C=C/c1ccc(OCCCCN2CCCC2)cc1)Nc1ccccc1,val
O=C(CN1CCOCC1)Nc1cc(-n2cccn2)nc(-c2ccco2)n1,train
O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CCOCC3)c3cc[nH]c3n2)cc1,train
c1ccc(C(Cc2coc3ncncc23)C2CC2)cc1,val
O=C1NC(c2ccc3[nH]cnc3c2)c2ccccc21,train
O=C(CC1CCOCC1)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3OCO4)CC2)CC1,val
c1ccccc1,train
O=C(NCCc1ccccc1)c1nc(NCc2cccnc2)nc2ccsc12,train
c1ccc(Nc2ncnc3cc(OCc4noc(-c5ccccc5)n4)ccc23)cc1,train
c1cnn2c(-c3cc(Nc4cnccn4)ncn3)c(Nc3cc[nH]n3)nc2c1,test
c1ccc(-c2cnc3cc(NCCCN4CCNCC4)ncc3c2)cc1,train
c1ccc2oc(Nc3ccc(-c4nsc5ncncc45)cc3)nc2c1,train
c1ccc(Nc2ncccn2)cc1,train
c1nc2c(s1)CCCC2,train
C1CCNC1,train
O=C(Nc1ccccc1)Nc1cccc(Oc2cc(NC(=O)C3CC3)ncn2)c1,train
O=C(Nc1nc2cc(N3CCNCC3)ccc2[nH]1)c1ccnc(-c2cn[nH]c2)c1,train
c1cc(-c2ccc([C@@H]3CCc4ccc(CC5CC5)cc4O3)cc2)ccn1,val
c1cc(-c2ccc(C3CCc4ccc(CC5CC5)cc4O3)cc2)ccn1,train
O=c1[nH]c2c(ncn3nc(-c4ccco4)nc23)n1CCN1CCN(c2cccnc2)CC1,val
c1cc(-c2nc(C3CCC3)c3c(n2)N2CCOC[C@H]2CO3)c2cc[nH]c2c1,train
O=C(CNCc1ccccc1)Nc1ccc2nc3n(c(=O)c2c1)CCC3,train
O=C(Nc1nc2ccccc2[nH]1)c1ccnc(-c2cn[nH]c2)c1,train
c1coc(-c2nc3c4c[nH]nc4nc(NCCc4cc5ccccc5[nH]4)n3n2)c1,val
O=C(CCCc1ccccc1)N1CCn2cnnc2C1,train
O=c1c(CCN2CCN(c3nccc4sccc34)CC2)cnc2n1CCCC2,train
c1ccc(-c2ccc(C3COc4ccc(CC5CC5)cc4N3)cc2)cc1,train
O=C(Cc1cccc(CCNCCc2ccccc2)c1)NCc1ccccc1,train
O=C1CCc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,train
c1ccc(CNc2ncnc3c2ncn3[C@H]2CCC3C[C@@H]32)cc1,train
C(=C/c1cc(N2CCCCC2)c2ccccc2n1)\c1ccccc1,test
O=C(Cc1ccc(SCc2ccccc2)cc1)OCCc1ccccc1,train
c1cc2c(ncn3nc(CCN4CCCC4)nc23)c2c1OCO2,train
c1cc(CN2CCNCC2)cc(Nc2nc3cc(Oc4ccncc4)ccc3o2)c1,test
O=C(C1CC1)N(Cc1ccccc1)[C@H]1CCNC1,test
O=C1Nc2ccccc2C1=Nc1ccc(C(=O)NNC(=S)Nc2ccccc2)cc1,test
c1ccc(Nc2ncnc3cc(OC[C@H]4CN5CCOCC5CO4)ccc23)cc1,train
c1ccc(Nc2ncnc3cc(OC[C@@H]4CN5CCOCC5CO4)ccc23)cc1,train
c1ccc(Nc2ncnc3cc(OC[C@H]4CN5CCOC[C@H]5CO4)ccc23)cc1,train
O=c1[nH]c2cnc3ccc(-c4cccnc4)nc3c2n1C1CCNCC1,train
S=C1Cc2cnc(Nc3ccccc3)nc2-c2ccccc2N1,train
c1ccc([C@H](Cc2ccc3ccccc3c2)OCc2ncno2)cc1,val
O=C1Cc2cc(N3C(=O)c4ccccc4C3=O)ccc2CN1C(=O)c1ccccc1,train
O=C(Cc1cn[nH]c1)N[C@H]1CC[C@H](CCN2CCc3cccnc3CC2)CC1,val
c1ccc(C2CC3CCC(C2)N3)cc1,train
O=C(c1ccccc1)N(C1CCCCC1)[C@H]1CCNC1,train
c1ccc(OC[C@H]2COc3ccccc3O2)cc1,train
O=S(=O)(Nc1cccc(CCNCCc2c[nH]c3ccccc23)c1)c1cccs1,train
O=C(Nc1nccs1)C(c1ncn2c1CCC2)N1Cc2ccc(C#Cc3ccc(CN4CCCCC4)cc3)cc2C1=O,train
c1ccc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)cc1,train
c1coc(-c2cnc(Cc3cc([C@H]4CCCCO4)ccc3C3CC3)s2)c1,test
O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3OCO4)CC2)CC1)C1CCOC1,train
O=C(CCc1ccc(-c2ccccc2)cc1)N1CCC1,train
O=C(CCOCCc1ccccc1)NCCNCCc1cccc2[nH]c(=O)sc12,train
O=c1[nH]c2cnc3ccc(-c4cccnc4)cc3c2[nH]1,val
S=C(NNc1c2c(nc3ccccc13)CCCC2)Nc1ccccc1,train
c1ccc2cc(C3CCCCC3)ccc2c1,train
O=c1[nH]c(=O)c2[nH]c(-c3ccc(OCCCN4CCN(Cc5ccccc5)CC4)cc3)nc2[nH]1,train
O=C(Nc1ccccc1)c1nn([C@@H]2CCCNC2)c2ncncc12,train
c1ccc(N2CCN(CCN[C@@H]3CCc4ccccc4C3)CC2)cc1,train
c1ccc(N2CCN(CCN[C@H]3CCc4ccccc4C3)CC2)cc1,train
c1ccc(N2CCN(CCNC3CCc4ccccc4C3)CC2)cc1,train
c1ccc(C23CC2CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,train
c1ccc(CNc2ncnc3[nH]c(-c4ccccc4)cc23)cc1,train
c1ccc(-c2cnc3ccncc3c2)cc1,train
O=C1CCCN1CCOc1cccc(Nc2nccc(Nc3ccccc3)n2)c1,test
c1ccc(Cc2ccccc2)cc1,train
O=C(OCCCCCn1ccnn1)C1C2CCC(C[C@@H]1c1ccccc1)N2,train
c1ccc(N2CCN(Cc3cn4nc(N5CCCCC5)ccc4n3)CC2)cc1,val
c1ccc(C2=NN(c3ccccc3)C(c3ccccc3)C2)cc1,train
O=C(CCc1ccc(-c2ccc3nncn3c2)cc1)N1CCCC1,train
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cc2ccccc2o1,train
O=C(N[C@H]1CC[C@@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cc2ccccc2o1,test
O=C1C=C(c2c[nH]c3ccccc23)C(=O)C=C1c1ccccc1,train
O=C1c2ccccc2C(c2ccc3[nH]cnc3c2)N1Cc1ccccc1,train
c1ccc(-c2ccc3c(c2)C(N2CCNCC2)Cc2ccccc2S3)cc1,train
O=C(NCCCCN1CCN(c2ccccc2)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,train
O=C(NCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc(N2CCNCC2)nc2ccccc12,train
O=c1[nH]cc(-c2ccccc2)c2ccccc12,train
O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)nc3c2C(=O)NCCO3)cc1)Nc1ccncn1,train
O=C1COc2c(CCCN3CCN(c4cccc5ncccc45)CC3)cccc2N1,train
O=C(CCc1ccccc1)c1ccccc1O[C@H]1CCCCO1,train
c1ccc(-c2nnc3ccc(N4CCNCC4)nn23)cc1,train
O=C(NCc1ccccc1)c1ccc2c(ccn2Cc2ccccc2)c1,train
O=C(Nc1ccccc1)Nc1ccc(-c2cccc3oncc23)cc1,train
C1=C([C@@H](Nc2ccc3ncccc3c2)c2cccc3ncccc23)NNN1C12CC(C1)C2,train
c1ccc(COc2cccc(C3CCN(Cc4nc5cccnc5n4C[C@@H]4CCO4)CC3)n2)cc1,train
O=c1[nH]cc(Cc2ccc(Oc3cc4ccccc4cn3)cc2)s1,test
O=C(Nc1nc(-c2ccccc2)nc2nn(Cc3ccccc3)cc12)c1ccccc1,test
O=C(Nc1cc[nH]n1)c1ccc2cc(-c3n[nH]c4ncncc34)[nH]c2c1,train
O=C(C=Cc1ccccc1)NCCCNC(=O)C=Cc1ccccc1,train
c1ccc(Cn2ncc3cc(Nc4ncnc5ccccc45)ccc32)cc1,train
O=C(N[C@H]1CC[C@H](CCN2CCN(c3ccccc3)CC2)CC1)C1CCCCC1,train
O=C(Nc1ccccc1)c1cccc2cc(-c3csc4ccncc34)ccc12,test
c1ccc(-c2nc[nH]n2)cc1,train
O=C1CCc2c(Oc3ccc4c(c3)[C@H]3[C@H](NC(=O)Nc5ccccc5)[C@H]3O4)ccnc2N1,train
O=C(Nc1ccccc1)c1cccc(-c2c[nH]c(=O)c(N3CCOCC3)c2)c1,train
O=C(Nc1ccccc1)Nc1ccc(-c2csc3ncncc23)cc1,train
O=C(CCCCN1CCC(c2noc3ccccc23)CC1)c1cc2c3c(c1)CCN3C(=O)CC2,train
c1ccc(Nc2ccc(-c3cccc4[nH]ncc34)cc2)cc1,val
O=c1[nH]c(=O)c2[nH]c(/C=C/c3ccccn3)cc2[nH]1,test
O=S(=O)(c1ccccc1)N1CCN(c2nc(NCCN3CCOCC3)nc(N3CCOCC3)n2)CC1,train
c1cc2c(Oc3cnc4[nH]ccc4c3)ncnn2c1,train
O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,val
c1cc(Nc2ncnc3ccc(OC4CNC4)cc23)cc(-c2cnco2)c1,train
c1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,train
c1ccc(Nc2nccc(Nc3cn[nH]c3)n2)cc1,train
O=c1[nH]c(=O)n(Cc2ccco2)c2nc(Cc3ccccc3)[nH]c12,train
c1ccc(OCc2ccc(OCCCN3CCCCC3)cc2)cc1,train
O=C(NCC1COC1)c1ccc(-c2ncncc2C#Cc2cccnc2)cc1,train
C1=C([C@@H](Nc2ccc3ncccc3c2)c2cccnc2)NNN1C1CC1,train
O=c1ccnc2ccc(-c3cncc(NS(=O)(=O)c4ccccc4)c3)cn12,train
None,train
O=C(Nc1cncc(-c2cc(N3CCOCC3)cnn2)c1)c1ccncc1,train
O=S(=O)(c1cccc2ncccc12)N1CCCCC[C@H]1CCN1CCN(c2cccc3sccc23)CC1,train
c1ccc([C@H]2CC[C@H](N3Cc4cn5nccc5nc4C3)CC2)cc1,val
c1ccc([C@H]2CC[C@@H](N3Cc4cn5nccc5nc4C3)CC2)cc1,test
c1nc2c(Nc3ccc(N4CCNCC4)cc3)nc(N[C@H]3CCNC3)nc2[nH]1,train
O=C(Nc1ccccc1)c1cc(-c2cncnc2)c2c(c1)nc1n2CCCO1,train
c1ccc2c(c1)Cc1ccccc1[C@H]1OCC[C@H]21,train
c1ccc(Nc2ccncn2)cc1,train
c1ccc(C(CCN2CCC[C@H]2CN2CCN(c3ccccc3)CC2)c2ccccc2)cc1,val
C1=C[C@H]2C[C@@H]1C[C@@H]2Nc1ccnc2[nH]c(-c3ccc(N4CCOCC4)cc3)nc12,train
O=C(Nc1cccc(-c2cc(N3CCOCC3)[nH]c(=O)c2)c1)c1ccccc1,train
c1ccc(Nc2ncnc3ccc(-c4ccccc4)cc23)cc1,train
c1ccc(OCCCNCCOc2ccccc2)cc1,train
c1cc(Nc2nccc(Nc3ccc4c[nH]nc4c3)n2)cc(-c2nc3ccccc3[nH]2)c1,train
c1ccc(C2CN(CCCn3cc(CCCN4CCN(c5ccccc5)CC4)nn3)CCc3ccccc32)cc1,train
O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,train
O=C(Nc1ccccc1)Nc1ccc(Nc2cccnn2)cc1,val
O=C(c1ccccc1)c1ccccc1N[C@H](CNC(=O)C1CCCCC1)Cc1ccc(OCCc2coc(-c3ccccc3)n2)cc1,test
O=c1oc2ccccc2cc1Cc1ccccc1,train
c1ccc(OCCC2CCN(c3nc4ccccc4s3)CC2)cc1,train
O=S(=O)(N[C@H]1CC[C@H](N2CCC(c3ccccc3)CC2)CC1)c1ccccc1,train
O=S(=O)(N[C@H]1CC[C@@H](N2CCC(c3ccccc3)CC2)CC1)c1ccccc1,train
C1=C[C@H]2C[C@@H]1C[C@@H]2Nc1ccnc(Nc2ccc3c(c2)CCC[C@H](N2CCNCC2)C3)n1,val
C1=C[C@H]2C[C@@H]1C[C@@H]2Nc1ccnc(Nc2ccc3c(c2)CCC[C@@H](N2CCNCC2)C3)n1,train
c1ccc2c(N3CCN(CCc4ccc5c(c4)CCC5)CC3)nsc2c1,train
O=C(NCc1cccnc1)c1nc(NCc2ccccc2)nc2ccsc12,train
c1ccc(CNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,train
c1cc2c(cc1C1CC1)CCO2,train
C(=N/Nc1nccc(Nc2ccccc2)n1)\c1ccccc1,train
O=C(Nc1ccccc1)Nc1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CC=CC4,val
c1ccc(Cc2cccc(C3CCCCC3)c2)cc1,train
O=C(NCc1ccccc1)C1CCCN1C(=O)CCCc1ccccc1,train
c1ccc(Nc2ccnc(Nc3ccc(C4CCNCC4)cc3)n2)cc1,train
c1ccc(Oc2nc(Nc3[nH]nc4ccccc34)cc(N3CCNCC3)n2)cc1,train
O=C1CC2(CCOCC2)Oc2cc(-c3cccc(NC(=O)c4ccncc4)c3)ccc2N1,train
O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cn[nH]c3n2)cc1,train
c1ccc(CN2CCC(CCCOc3ccc4[nH]ccc4c3)CC2)cc1,train
c1ccc(C2c3ccc4ccccc4c3C3=NCCCN32)cc1,train
O=C(CN1Cc2c[nH]nc2C1)N1C(=O)S/C(=C\c2ccc(OCc3ccccc3)cc2)C1=O,test
